Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude,Category
CIRCADIAN RHYTHMS,2025-04-14,16:08,Wax Music Lounge,"250 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/584862551173325/?event_time_id=584862611173319,-37.8176298,144.9661635,Music
Endgame Academy Soccer Clinic - Thornbury,2025-04-14,10:00,Darebin International Sports Centre,"281 Darebin Road Thornbury, VIC 3071",https://www.eventbrite.com.au/e/endgame-academy-soccer-clinic-thornbury-tickets-1314819674039?aff=ebdssbdestsearch,-37.7650109,145.0235937,
Broadway Bound | MELB | School Holiday Workshop,2025-04-14,10:00,Australian Institute of Music Melbourne,"120 King Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/broadway-bound-melb-school-holiday-workshop-tickets-1227131235559?aff=ebdssbdestsearch,-37.81714789999999,144.9564705,
WOMEN'S CIRCLES,2025-04-14,18:30,The Healing Garden Williamstown,"139 Nelson Place Williamstown, VIC 3016",https://www.eventbrite.com.au/e/womens-circles-tickets-1266853616269?aff=ebdssbdestsearch,-37.863395,144.904683,
MOVEMENT & PLAY HOLIDAY PROGRAM,2025-04-14,10:30,32 Amis Cres,"32 Amis Crescent Keilor East, VIC 3033",https://www.eventbrite.com.au/e/movement-play-holiday-program-tickets-1288974460309?aff=ebdssbdestsearch,-37.74807699999999,144.862017,
Monday Night Breathwork Class with Analu,2025-04-14,18:00,252 St Kilda Rd,"252 Saint Kilda Road St Kilda, VIC 3182",https://www.eventbrite.com.au/e/monday-night-breathwork-class-with-analu-tickets-1139178416309?aff=ebdssbdestsearch,-37.8633344,144.9858169,
Donation-Based Yoga Class,2025-04-14,09:30,Melbourne Theosophical Society,"234 Flinders Lane #Level 1 Melbourne, VIC 3000",https://www.eventbrite.com/e/donation-based-yoga-class-tickets-1253860493489?aff=ebdssbdestsearch,-37.816602,144.966291,
Beginner Friendly Tango Dance Classes,2025-04-14,18:00,I.AM.DANCE,"Kerr Street Fitzroy, VIC 3065",https://www.eventbrite.com.au/e/beginner-friendly-tango-dance-classes-tickets-1257768823409?aff=ebdssbdestsearch,-37.7968685,144.9798521,
Life drawing - Unassigned Gallery,2025-04-14,19:00,55 Edward St,"55 Edward Street Brunswick, VIC 3056",https://www.eventbrite.com/e/life-drawing-unassigned-gallery-tickets-1288074257779?aff=ebdssbdestsearch,-37.7738491,144.9631088,
Why The Long Face,2025-04-14,21:00,Tasma Terrace,"5 Parliament Place Melbourne, VIC 3002",https://www.eventbrite.co.uk/e/why-the-long-face-tickets-1088252696109?aff=ebdssbdestsearch,-37.8117589,144.9752047,
"BC #453 (Max Vegas, Charles Eddy, Ruby, Andrew 88 + more)",2025-04-14,08:00,onesixone,"161 High Street Prahran, VIC 3181",https://www.eventbrite.com.au/e/bc-453-max-vegas-charles-eddy-ruby-andrew-88-more-tickets-1315685202859?aff=ebdssbdestsearch,-37.85173229999999,144.9936589,
Murder Mystery Experience - Melbourne,2025-04-14,08:00,179 La Trobe St,"179 La Trobe Street Melbourne, VIC 3000",https://www.eventbrite.com/e/murder-mystery-experience-melbourne-tickets-1137771718839?aff=ebdssbdestsearch,-37.809415,144.9652062,
LEAP - Sacred Circle Full Moon Flow,2025-04-14,18:30,South Melbourne Life Saving Club,"72B Beaconsfield Parade Albert Park, VIC 3206",https://www.eventbrite.com.au/e/leap-sacred-circle-full-moon-flow-tickets-1254090752199?aff=ebdssbdestsearch,-37.84710949999999,144.9465725,
Ash and Marlies are... Amicable,2025-04-14,18:15,Tasma Terrace,"5 Parliament Place Melbourne, VIC 3002",https://www.eventbrite.co.uk/e/ash-and-marlies-are-amicable-tickets-1085018402249?aff=ebdssbdestsearch,-37.8117589,144.9752047,
Tonight! a clown who wanted to be loved?,2025-04-14,17:30,The Butterfly Club,"5 Carson Place Melbourne, VIC 3000",https://www.eventbrite.co.uk/e/tonight-a-clown-who-wanted-to-be-loved-tickets-1088250118399?aff=ebdssbdestsearch,-37.8154472,144.9652725,
Witches' Circle,2025-04-14,18:00,Moss Studios,"101 Evans Street Brunswick, VIC 3056",https://www.eventbrite.com.au/e/witches-circle-tickets-1301624787779?aff=ebdssbdestsearch,-37.77035559999999,144.9709215,
Comedy Untamed Melbourne Comedy Festival,2025-04-14,19:30,The Coopers Inn,"282 Exhibition Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/comedy-untamed-melbourne-comedy-festival-tickets-1149776405179?aff=ebdssbdestsearch,-37.809147,144.9695339,
Low-Cost Watercolour Painting Workshop,2025-04-14,10:00,383 High St,"383 High Street Preston, VIC 3072",https://www.eventbrite.com.au/e/low-cost-watercolour-painting-workshop-tickets-1297747099509?aff=ebdssbdestsearch,-37.740719,145.003302,
Pop Icon Dance - casual classes (Southbank),2025-04-14,06:45,NIDA - National Institute of Dramatic Art,"152 Sturt Street #Suite 4 Southbank, VIC 3006",https://www.eventbrite.com.au/e/pop-icon-dance-casual-classes-southbank-tickets-1307565957979?aff=ebdssbdestsearch,-37.8254475,144.9659146,
Snape: Life After Voldemort,2025-04-14,20:20,Tasma Terrace,"5 Parliament Place Melbourne, VIC 3002",https://www.eventbrite.co.uk/e/snape-life-after-voldemort-tickets-1086677675179?aff=ebdssbdestsearch,-37.8117589,144.9752047,
Tom Witcombe - Selfies at the 9/11 Museum (Melbourne Comedy Festival),2025-04-14,09:15,Bard's Apothecary,"24 Crossley Street #7 Melbourne, VIC 3000",https://www.eventbrite.com.au/e/tom-witcombe-selfies-at-the-911-museum-melbourne-comedy-festival-tickets-1096935827589?aff=ebdssbdestsearch,-37.811328,144.9711498,
Face-to Face General English Intermediate Class,2025-04-14,09:00,Concord English College - Best ELICOS College in Melbourne,"382-384 Lonsdale Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/face-to-face-general-english-intermediate-class-tickets-1238157354979?aff=ebdssbdestsearch,-37.8124231,144.9609901,
CIRCADIAN RHYTHMS,2025-04-14,16:05,Wax Music Lounge,"250 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/584862551173325/,-37.8176298,144.9661635,Music
Marley Del Prete APRIL Residency,2025-04-14,19:00,Bar Oussou,"653 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/2367376750312613/,-37.7618155,144.9628753,Music
Danny Bhoy | Melbourne,2025-04-14,20:58,Arts Centre Melbourne,"100 St Kilda Rd, Southbank VIC 3004, Australia",https://www.facebook.com/events/1254201262512042/,-37.8216405,144.9683143,Comedy
the stamps Residency at Merri Creek Tavern w/ Nick Keogh,2025-04-14,20:00,The Merri Creek Tavern,"111 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/1836633980470636/,-37.7794356,144.996838,Music
"‘Social Sanctuary’ with Think About You, Hot Glue + Greer Clemens Band",2025-04-14,19:00,Northcote Social Club,"301 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/3128099070672825/,-37.771471,144.998414,Music
The Libertines | Melbourne | SOLD OUT,2025-04-15,19:00,Forum Melbourne,"154 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/875602187999941/,-37.81644145,144.9693768124984,Music
Prokick Australia - MELBOURNE TRY-OUTS NFL/COLLEGE *MULTIPLE DATES*,2025-04-15,11:30,Paul Wade Field,"Aughtie Drive St Kilda, VIC 3182",https://www.eventbrite.com/e/prokick-australia-melbourne-try-outs-nflcollege-multiple-dates-tickets-1272181662599?aff=ebdssbdestsearch,-37.8528059,144.9724569,
Bachata Dance Class,2025-04-15,02:15,Nona Lee Sports Centre,"103 Tin Alley #Building Parkville, VIC 3010",https://www.eventbrite.com.au/e/bachata-dance-class-tickets-1297584122039?aff=ebdssbdestsearch,-37.79527789999999,144.9626463,
Spoken Word @ Bar Oussou!,2025-04-15,00:00,Bar Oussou,"653 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/807715171482397/,-37.7618155,144.9628753,Art
Trivia Tuesday's at Temperance Hotel!,2025-04-15,00:00,Temperance Hotel,"426 Chapel St, South Yarra VIC 3141, Australia",https://www.facebook.com/events/609896718629673/?event_time_id=624032413882770,-37.84306185,144.99489592695178,Games
Condensed Milk Tuesdays,2025-04-15,00:00,Section 8,"27-29 Tattersalls Ln, Melbourne VIC 3000, Australia",https://www.facebook.com/events/3806429379629971/,-37.8117457,144.965405,Unknown
TRIVIA hosted by COMFORTABLY FUN,2025-04-15,00:00,Mamma Chen's,"42A Albert St, Footscray VIC 3011, Australia",https://www.facebook.com/events/539160092134546/,-37.8047552,144.89727240000002,Games
"The Moops, Barkin’ Blue, E.J. Leonard - Old Bar",2025-04-15,19:30,The Old Bar,"74-76 Johnston St, Fitzroy VIC 3065, Australia",https://www.facebook.com/events/4057926387800402/,-37.79833,144.97711,Music
Tix at 12,2025-04-15,00:00,Arts Centre Melbourne,"100 St Kilda Rd, Southbank VIC 3004, Australia",https://www.facebook.com/events/473885795706627/?event_time_id=481829724912234,-37.8216405,144.9683143,Art
Allison Russell,2025-04-15,19:30,Melbourne Recital Centre,"31 Sturt St, Southbank VIC 3006, Australia",https://www.facebook.com/events/500513579513591/,-37.82408485,144.96758763141432,Music
Yarra Banks Jam @ Bar 303,2025-04-15,00:00,Bar 303,"303 High St, Northcote VIC 3070, Australia",https://www.facebook.com/events/589465910770603/?event_time_id=589468110770383,-37.7713296,144.99828116650363,Music
BRAZLOMBIA,2025-04-15,00:00,Wax Music Lounge,"250 Flinders St, Melbourne VIC 3000, Australia",https://www.facebook.com/events/585678634285012/?event_time_id=585678680951674,-37.8176298,144.9661635,Music
MNDS Games Night,2025-04-15,18:00,"Room 335, Learning and Teaching Building","19 Ancora Imparo Way Clayton, VIC 3168",https://www.eventbrite.com.au/e/mnds-games-night-tickets-1307833327689?aff=ebdssbdestsearch,-37.9139139,145.1325609,
